GLOBALEVENTID,SQLDATE,Actor1Name,AvgTone
749495715,20180420,SOUTHWEST AIRLINES,-2.064220183
749247272,20180420,SOUTHWEST AIRLINES,-2.034664657
749247280,20180420,BOEING,-2.034664657
749247281,20180420,BOEING,-2.034664657
749322418,20180420,GOOGLE,-2.03125
749207508,20180420,BOEING,-2.005012531
749298651,20180420,MICROSOFT,-1.997905958
749439677,20180420,CITIGROUP,-1.991150442
749439676,20180420,CITIGROUP,-1.991150442
749439678,20180420,CITIGROUP,-1.991150442
749338456,20180420,STARBUCKS,-1.985559567
749338464,20180420,STARBUCKS,-1.985559567
749298649,20180420,STARBUCKS,-1.981230448
749472722,20180420,STARBUCKS,-1.960784314
749230920,20180420,QUALCOMM,-1.958650707
749488129,20180420,GOOGLE,-1.930501931
749488128,20180420,GOOGLE,-1.930501931
749498706,20180420,GOOGLE,-1.902748414
749439686,20180420,GOOGLE,-1.89701897
749439690,20180420,GOOGLE,-1.89701897
749493018,20180420,STARBUCKS,-1.891891892
749250479,20180420,BOEING,-1.879699248
749250480,20180420,BOEING,-1.879699248
749212518,20180420,STARBUCKS,-1.874196298
749373537,20180420,BANK OF AMERICA,-1.866666667
749230896,20180420,WELLS FARGO,-1.851851852
749309810,20180420,STARBUCKS,-1.821493625
749212538,20180420,GOOGLE,-1.815642458
749470502,20180420,GOOGLE,-1.80878553
749470504,20180420,GOOGLE,-1.80878553
749346204,20180420,BLACKROCK,-1.806451613
749485618,20180420,VIACOM,-1.805054152
749443658,20180420,MICROSOFT,-1.798561151
749437584,20180420,BOEING,-1.792114695
749342171,20180420,STARBUCKS,-1.792114695
749463593,20180420,NETFLIX,-1.785714286
749463595,20180420,NETFLIX,-1.785714286
749338460,20180420,WELLS FARGO,-1.782178218
749435550,20180420,NETFLIX,-1.776900296
749467014,20180420,MATTEL,-1.771554753
749467018,20180420,MATTEL,-1.771554753
749467015,20180420,MATTEL,-1.771554753
749467017,20180420,MATTEL,-1.771554753
749346209,20180420,STARBUCKS,-1.771117166
749346205,20180420,STARBUCKS,-1.771117166
749326753,20180420,WELLS FARGO,-1.769911504
749207521,20180420,GOOGLE,-1.748251748
749346206,20180420,WELLS FARGO,-1.748251748
749275113,20180420,XEROX,-1.747815231
749275115,20180420,XEROX,-1.747815231
749373542,20180420,WELLS FARGO,-1.707779886
749373532,20180420,WELLS FARGO,-1.707779886
749373541,20180420,WELLS FARGO,-1.707779886
749454627,20180420,GOOGLE,-1.683937824
749454615,20180420,MICROSOFT,-1.683937824
749373545,20180420,GOOGLE,-1.678657074
749273794,20180420,GOOGLE,-1.660516605
749273793,20180420,GOOGLE,-1.660516605
749396716,20180420,QUALCOMM,-1.607717042
749357857,20180420,WELLS FARGO,-1.607142857
749357856,20180420,WELLS FARGO,-1.607142857
749357855,20180420,WELLS FARGO,-1.607142857
749482021,20180420,BOEING,-1.6
749482020,20180420,BOEING,-1.6
749369119,20180420,GOOGLE,-1.582417582
749439675,20180420,BOEING,-1.581027668
749439674,20180420,BOEING,-1.581027668
749326755,20180420,BOEING,-1.557632399
749291900,20180420,CITIGROUP,-1.550387597
749470495,20180420,GENERAL ELECTRIC,-1.515151515
749470496,20180420,GENERAL ELECTRIC,-1.515151515
749207510,20180420,SOUTHWEST AIRLINES,-1.509433962
749424185,20180420,MORGAN STANLEY,-1.497933884
749230904,20180420,SOUTHWEST AIRLINES,-1.495726496
749443665,20180420,WELLS FARGO,-1.473684211
749443664,20180420,WELLS FARGO,-1.473684211
749320389,20180420,GOOGLE,-1.461038961
749450949,20180420,GOOGLE,-1.461038961
749338463,20180420,SOUTHWEST AIRLINES,-1.454545455
749412626,20180420,MATTEL,-1.453488372
749326754,20180420,MORGAN STANLEY,-1.446280992
749326759,20180420,GOOGLE,-1.446280992
749267346,20180420,GOOGLE,-1.443569554
749267347,20180420,GOOGLE,-1.443569554
749267344,20180420,GOOGLE,-1.443569554
749267342,20180420,GOOGLE,-1.443569554
749267345,20180420,GOOGLE,-1.443569554
749267343,20180420,GOOGLE,-1.443569554
749222786,20180420,SOUTHWEST AIRLINES,-1.441677588
749222788,20180420,SOUTHWEST AIRLINES,-1.441677588
749222789,20180420,SOUTHWEST AIRLINES,-1.441677588
749256063,20180420,GOOGLE,-1.41955836
749285915,20180420,GOOGLE,-1.419354839
749273792,20180420,GOOGLE,-1.413427562
749470497,20180420,MGM RESORTS,-1.404212638
749470501,20180420,MGM RESORTS,-1.404212638
749470499,20180420,MGM RESORTS,-1.404212638
749250458,20180420,STARBUCKS,-1.404056162
749250485,20180420,STARBUCKS,-1.404056162
749250457,20180420,STARBUCKS,-1.404056162
749250465,20180420,STARBUCKS,-1.404056162
749250466,20180420,STARBUCKS,-1.404056162
749280507,20180420,EXXON,-1.392111369
749253342,20180420,VALERO ENERGY,-1.379310345
749431635,20180420,CONOCOPHILLIPS,-1.366120219
749427871,20180420,STARBUCKS,-1.358695652
749250467,20180420,WHITE MOUNTAINS INSURANCE GROUP,-1.35301353
749250468,20180420,WHITE MOUNTAINS INSURANCE GROUP,-1.35301353
749386852,20180420,GOOGLE,-1.347708895
749355992,20180420,GOLDMAN SACHS,-1.302931596
749207496,20180420,SOUTHWEST AIRLINES,-1.291989664
749207495,20180420,SOUTHWEST AIRLINES,-1.291989664
749498705,20180420,BRISTOL MYERS SQUIBB,-1.271676301
749237913,20180420,WELLS FARGO,-1.265822785
749257456,20180420,NETFLIX,-1.25
749416449,20180420,STARBUCKS,-1.233721727
749495726,20180420,VERIZON,-1.230769231
749351888,20180420,GOOGLE,-1.206896552
749230893,20180420,NETFLIX,-1.203723891
749230892,20180420,NETFLIX,-1.203723891
749280509,20180420,BANK OF AMERICA,-1.2
749280504,20180420,BANK OF AMERICA,-1.2
749217980,20180420,SOUTHWEST AIRLINES,-1.164021164
749217981,20180420,SOUTHWEST AIRLINES,-1.164021164
749217982,20180420,SOUTHWEST AIRLINES,-1.164021164
749424184,20180420,MORGAN STANLEY,-1.162790698
749459897,20180420,GOOGLE,-1.155624037
749459900,20180420,GOOGLE,-1.155624037
749207526,20180420,GOOGLE,-1.132602557
749207520,20180420,GOOGLE,-1.132602557
749450945,20180420,STARBUCKS,-1.123286835
749485615,20180420,MICROSOFT,-1.1215409
749234600,20180420,STARBUCKS,-1.10701107
749234604,20180420,STARBUCKS,-1.10701107
749463596,20180420,BOEING,-1.098901099
749463594,20180420,BOEING,-1.098901099
749426111,20180420,BOEING,-1.098901099
749463603,20180420,SOUTHWEST AIRLINES,-1.098901099
749288880,20180420,GOOGLE,-1.092896175
749288881,20180420,GOOGLE,-1.092896175
749212527,20180420,STARBUCKS,-1.089918256
749485619,20180420,MORGAN STANLEY,-1.084598698
749250473,20180420,SOUTHWEST AIRLINES,-1.082543978
749472729,20180420,GOOGLE,-1.081081081
749439673,20180420,WELLS FARGO,-1.066828637
749488120,20180420,NETFLIX,-1.056527189
749443651,20180420,WELLS FARGO,-1.05055626
749420464,20180420,QUALCOMM,-1.044386423
749420455,20180420,NVIDIA,-1.044386423
749373529,20180420,BOEING,-1.039861352
749450931,20180420,WELLS FARGO,-1.037233293
749424177,20180420,BOEING,-1.036222416
749424179,20180420,BOEING,-1.036222416
749324708,20180420,GOLDMAN SACHS,-1.030927835
749495729,20180420,GOOGLE,-1.022494888
749495737,20180420,GOOGLE,-1.022494888
749495735,20180420,GOOGLE,-1.022494888
749495734,20180420,GOOGLE,-1.022494888
749495736,20180420,GOOGLE,-1.022494888
749495728,20180420,GOOGLE,-1.022494888
749212524,20180420,WELLS FARGO,-1.001204007
749431637,20180420,GOOGLE,-0.99009901
749287330,20180420,MATTEL,-0.97323601
749280510,20180420,MICROSOFT,-0.955414013
749470506,20180420,GOOGLE,-0.954400848
749501185,20180420,GOOGLE,-0.935550936
749431632,20180420,STARBUCKS,-0.932400932
749431639,20180420,GOOGLE,-0.932400932
749491189,20180420,GENERAL ELECTRIC,-0.917431193
749491188,20180420,GENERAL ELECTRIC,-0.917431193
749277667,20180420,NEWS CORP,-0.913242009
749277666,20180420,NEWS CORP,-0.913242009
749344120,20180420,MONSANTO,-0.909090909
